,title,price,rating,reviews,link,req
0,Футболка белая однотонная 100% хлопок набор 3 шт KingCott,1084,4.8,4806,https://www.wildberries.ru/catalog/221304962/detail.aspx,Футболка
1,Футболка хлопок набор 3 шт Varo,1212,4.8,156804,https://www.wildberries.ru/catalog/174232323/detail.aspx,Футболка
3,Футболка хлопок с принтом GLAMURIKI_GLM COUTURE_GL KIDS,537,4.8,10738,https://www.wildberries.ru/catalog/167584225/detail.aspx,Футболка
4,Футболка детская KUROMI GLAMURIKI_GLM COUTURE_GL KIDS,580,4.9,576,https://www.wildberries.ru/catalog/338104423/detail.aspx,Футболка
5,Футболка детская GLAMURIKI_GLM COUTURE_GL KIDS,580,4.9,1426,https://www.wildberries.ru/catalog/302774713/detail.aspx,Футболка
6,Плотная базовая классическая футболка ТВОЕ,645,4.8,2181,https://www.wildberries.ru/catalog/299373160/detail.aspx,Футболка
7,Футболка детская Кукла GLAMURIKI_GLM COUTURE_GL KIDS,580,4.9,1201,https://www.wildberries.ru/catalog/300258586/detail.aspx,Футболка
8,"Футболка Regular, молочный MUTED",966,4.9,70,https://www.wildberries.ru/catalog/321933948/detail.aspx,Футболка
9,Футболка базовая однотонная Ryabina,1161,4.7,756,https://www.wildberries.ru/catalog/153666594/detail.aspx,Футболка
10,Футболка спортивная хлопок GLAMURIKI_GLM COUTURE_GL KIDS,531,4.8,8744,https://www.wildberries.ru/catalog/162415769/detail.aspx,Футболка
11,Футболка спортивная повседневная хлопок комплект 3 шт GLAMURIKI_GLM COUTURE_GL KIDS,1295,4.9,2213,https://www.wildberries.ru/catalog/241570116/detail.aspx,Футболка
12,Футболка с принтом большие размеры DARIT SHARM,980,4.9,30,https://www.wildberries.ru/catalog/343133933/detail.aspx,Футболка
13,Футболка детская с принтом BODO,1150,4.8,206,https://www.wildberries.ru/catalog/293228837/detail.aspx,Футболка
14,Футболка оверсайз с принтом Русский криминал Одежда «СИНДИКАТ»,2912,4.4,34,https://www.wildberries.ru/catalog/265149444/detail.aspx,Футболка
15,"Футболка Regular Fit, черный MUTED",1555,4.9,19,https://www.wildberries.ru/catalog/321933742/detail.aspx,Футболка
16,"Футболка Regular, пыльный голубой MUTED",966,4.9,70,https://www.wildberries.ru/catalog/321933945/detail.aspx,Футболка
17,"Футболка Regular Fit, белый MUTED",1555,4.9,19,https://www.wildberries.ru/catalog/321933743/detail.aspx,Футболка
18,Футболка однотонная в рубчик Турция Just be,2674,4.8,999,https://www.wildberries.ru/catalog/161166841/detail.aspx,Футболка
19,Футболка с принтом стильная хлопок оверсайз Jacey jace,1446,4.7,2811,https://www.wildberries.ru/catalog/227736786/detail.aspx,Футболка
20,Футболка обтягивающая варенка Red Flag,706,4.7,21657,https://www.wildberries.ru/catalog/370889833/detail.aspx,Футболка
21,Футболка-поло с коротким рукавом Comfycloth,2058,4.7,6939,https://www.wildberries.ru/catalog/213885133/detail.aspx,Футболка
22,Футболка топ укороченная базовая облегающая скимс YESFASHION,1225,4.8,1609,https://www.wildberries.ru/catalog/267659291/detail.aspx,Футболка
23,Футболка женская оверсайз розовая с принтом memes by CoLepen,912,4.8,20871,https://www.wildberries.ru/catalog/94312763/detail.aspx,Футболка
24,Футболка детская собачка и котик GLAMURIKI_GLM COUTURE_GL KIDS,624,4.9,1108,https://www.wildberries.ru/catalog/313266211/detail.aspx,Футболка
25,Футболка базовая однотонная хлопок SportsFactory,961,4.8,8671,https://www.wildberries.ru/catalog/85803581/detail.aspx,Футболка
26,Футболка с корабликом с принтом белая Макс-Экстрим,370,4.8,961,https://www.wildberries.ru/catalog/4727872/detail.aspx?targetUrl=MI,Футболка
27,Футболка мемная со смайликом сердечко MICONIC,399,4.7,386,https://www.wildberries.ru/catalog/160144095/detail.aspx?targetUrl=MI,Футболка
28,Футболка базовая однотонная хлопок Нити-Нити,1122,4.9,1405,https://www.wildberries.ru/catalog/38336919/detail.aspx?targetUrl=MI,Футболка
29,Футболка c принтом ARTFAYV,521,4.7,39,https://www.wildberries.ru/catalog/178099785/detail.aspx?targetUrl=MI,Футболка
30,Футболка мужская Большая оверсайз для мужчины Хлопковая PrimeStore,356,4.8,13715,https://www.wildberries.ru/catalog/57387030/detail.aspx?targetUrl=MI,Футболка
31,Футболка спортивная яркая с принтом Fra'n'co,1901,4.7,63,https://www.wildberries.ru/catalog/4135200/detail.aspx?targetUrl=MI,Футболка
32,Футболка с принтом Топ Бренд,744,4.8,66025,https://www.wildberries.ru/catalog/184370021/detail.aspx?targetUrl=MI,Футболка
33,Футболка больших размеров однотонная хлопок Богатырь,382,4.8,3028,https://www.wildberries.ru/catalog/74773087/detail.aspx?targetUrl=MI,Футболка
34,Футболка базовая оверсайз ESPINA,475,4.7,3006,https://www.wildberries.ru/catalog/157078032/detail.aspx?targetUrl=MI,Футболка
35,Футболка женская оверсайз Маяковский черная HONEY Studio,1650,4.8,169,https://www.wildberries.ru/catalog/124860831/detail.aspx?targetUrl=MI,Футболка
36,Футболка оверсайз белая COMANCHES,1868,4.8,3342,https://www.wildberries.ru/catalog/75633748/detail.aspx?targetUrl=MI,Футболка
37,Футболка MY HEROES,441,4.9,29086,https://www.wildberries.ru/catalog/169711497/detail.aspx?targetUrl=MI,Футболка
38,Футболка больших размеров базовая BIRLIK,410,4.9,7154,https://www.wildberries.ru/catalog/163513407/detail.aspx?targetUrl=MI,Футболка
39,Хлопковая футболка оверсайз с принтом ТВОЕ,569,4.8,3471,https://www.wildberries.ru/catalog/165757252/detail.aspx?targetUrl=MI,Футболка
40,Футболка с принтом Медведь Нити-Нити,1497,4.9,1085,https://www.wildberries.ru/catalog/8672272/detail.aspx?targetUrl=MI,Футболка
41,Футболка хлопок однотонная PrimeStore,399,4.8,158907,https://www.wildberries.ru/catalog/39483634/detail.aspx?targetUrl=MI,Футболка
42,Футболка однотонная детская Baby Style,284,4.8,12156,https://www.wildberries.ru/catalog/33665261/detail.aspx?targetUrl=MI,Футболка
43,Футболка оверсайз с принтом картины Мона Лизы ТВОЕ,862,4.8,1868,https://www.wildberries.ru/catalog/169114637/detail.aspx?targetUrl=MI,Футболка
44,Футболка оверсайз с принтом SunnyDress Official,607,4.7,5816,https://www.wildberries.ru/catalog/344623126/detail.aspx,Футболка
45,Футболка оверсайз базовая хлопок молочная COMQLO,1216,4.7,10942,https://www.wildberries.ru/catalog/174647580/detail.aspx,Футболка
46,Ретро футболка с ковром на спине SunnyDress Official,862,4.8,190,https://www.wildberries.ru/catalog/339681291/detail.aspx,Футболка
47,Футболка оверсайз варенка SKEIN,1415,4.8,158,https://www.wildberries.ru/catalog/246996489/detail.aspx,Футболка
48,Футболка набор - 2 шт Import Store,1724,4.7,23253,https://www.wildberries.ru/catalog/291453480/detail.aspx,Футболка
49,Футболка с принтом Import Store,1021,4.7,23253,https://www.wildberries.ru/catalog/223951967/detail.aspx,Футболка
50,Футболка черная однотонная базовая без рисунка хлопок Макс-Экстрим,555,4.8,137796,https://www.wildberries.ru/catalog/7250481/detail.aspx,Футболка
51,Футболка прямая с принтом логотипом TOM TAILOR,1451,4.8,2788,https://www.wildberries.ru/catalog/160378729/detail.aspx,Футболка
52,Футболка оверсайз y2k с принтом винтаж BS by WD,1005,4.7,11115,https://www.wildberries.ru/catalog/205859556/detail.aspx,Футболка
53,Футболка прямая в полоску с округлым низом TOM TAILOR,1339,4.8,267,https://www.wildberries.ru/catalog/337676460/detail.aspx,Футболка
54,Футболка белая однотонная хлопок 100% Lyle & Scott,2500,4.8,1102,https://www.wildberries.ru/catalog/213426549/detail.aspx,Футболка
55,Футболка оверсайз y2k домашняя серая COMQLO,1408,4.7,7789,https://www.wildberries.ru/catalog/206074448/detail.aspx,Футболка
56,Футболка олд мани с надписью SunnyDress Official,683,4.8,7721,https://www.wildberries.ru/catalog/339683644/detail.aspx,Футболка
57,Футболка плотная оверсайз Tim jeans,1910,4.9,20796,https://www.wildberries.ru/catalog/97771682/detail.aspx,Футболка
58,Футболка оверсайз плотная однотонная Tim jeans,1852,4.9,20796,https://www.wildberries.ru/catalog/163843752/detail.aspx,Футболка
59,Футболка зеленая однотонная хлопок 100% Lyle & Scott,2485,4.8,10031,https://www.wildberries.ru/catalog/42935808/detail.aspx,Футболка
60,Футболка мужская однотонная плотная летняя хлопок бежевая Lyle & Scott,2622,4.8,10031,https://www.wildberries.ru/catalog/158329623/detail.aspx,Футболка
61,Футболка сливочное масло цвет одежды COMQLO,1621,4.8,36886,https://www.wildberries.ru/catalog/189910655/detail.aspx,Футболка
62,Футболка оверсайз хлопок базовая удлиненная KPSL,1579,4.8,8684,https://www.wildberries.ru/catalog/147516605/detail.aspx,Футболка
63,Футболка мужская оверсайз набор 3 шт ТЕЛОДВИЖЕНИЯ,2063,4.7,5077,https://www.wildberries.ru/catalog/333237672/detail.aspx,Футболка
64,Футболка оверсайз однотонная базовая SunnyDress Official,622,4.8,7721,https://www.wildberries.ru/catalog/342307604/detail.aspx,Футболка
65,Футболка с принтом черная YELLOW PRICE STORE,999,4.9,1076,https://www.wildberries.ru/catalog/347668776/detail.aspx,Футболка
66,Футболка базовая с принтом CHUNAR,565,4.8,893,https://www.wildberries.ru/catalog/259600518/detail.aspx,Футболка
67,Однотонная футболка детская набор 2 штуки Cotton Care,483,4.9,974,https://www.wildberries.ru/catalog/273732559/detail.aspx,Футболка
68,Футболка со светящимся принтом Валерки Milj007,442,4.9,1493,https://www.wildberries.ru/catalog/104814900/detail.aspx,Футболка
69,Футболка черная оверсайз с принтом на спине SunnyDress Official,629,4.8,357,https://www.wildberries.ru/catalog/299416628/detail.aspx,Футболка
70,Футболка с принтом хлопковая KYRA,480,4.6,1089,https://www.wildberries.ru/catalog/366249001/detail.aspx,Футболка
89,Футболка оверсайз ТЕЛОДВИЖЕНИЯ,809,4.8,20633,https://www.wildberries.ru/catalog/165757815/detail.aspx,Футболка
90,Футболка базовая женская однотонная спортивная для фитнеса ТЕЛОДВИЖЕНИЯ,712,4.9,28381,https://www.wildberries.ru/catalog/172152349/detail.aspx,Футболка
91,Футболка со светящимся принтом бантики Фосфор,736,4.9,17180,https://www.wildberries.ru/catalog/388047191/detail.aspx,Футболка
92,Футболка трендовая оверсайз с принтом нирвана nirvana MIDNIGHT COMMUNITY,1091,4.7,2731,https://www.wildberries.ru/catalog/275191766/detail.aspx,Футболка
93,Футболка со светящимся прикольным принтом Milj007,602,4.9,263,https://www.wildberries.ru/catalog/254886011/detail.aspx,Футболка
94,футболка с принтом губы поцелуй Принтоман,883,4.7,926,https://www.wildberries.ru/catalog/183158398/detail.aspx,Футболка
95,Футболка с принтом хлопковая RosilyFashion,380,4.5,20648,https://www.wildberries.ru/catalog/346893887/detail.aspx,Футболка
96,футболка с принтом bmw лого на черно-белом Vsemaykiru,684,4.7,2947,https://www.wildberries.ru/catalog/113375791/detail.aspx,Футболка
97,Футболка оверсайз для мальчика подростковая белая IMHO,539,4.9,10338,https://www.wildberries.ru/catalog/191473984/detail.aspx,Футболка
98,Футболка оверсайз с принтом y2k крест готика MIDNIGHT COMMUNITY,937,4.8,4798,https://www.wildberries.ru/catalog/255697374/detail.aspx,Футболка
99,Футболка набор - 2 шт Import Store,1724,4.7,23253,https://www.wildberries.ru/catalog/291453483/detail.aspx,Футболка
100,Футболка с принтом фрагмента картины с ангелами ТВОЕ,673,4.8,2691,https://www.wildberries.ru/catalog/225016584/detail.aspx,Футболка
101,Футболка белая однотонная хлопок 100% Lyle & Scott,2899,4.8,931,https://www.wildberries.ru/catalog/172608413/detail.aspx,Футболка
102,Футболка с Дайвингом с принтом Макс-Экстрим,818,4.9,2635,https://www.wildberries.ru/catalog/3679914/detail.aspx,Футболка
103,Футболка оверсайз вязаная Турция однотонная DECHERT,2513,4.7,983,https://www.wildberries.ru/catalog/158384887/detail.aspx,Футболка
104,Футболка для девочки светящаяся в темноте CRIMSON CAT,642,4.9,2572,https://www.wildberries.ru/catalog/193705469/detail.aspx,Футболка
105,Футболка оверсайз opium y2k Nightmare by WD,1005,4.7,11115,https://www.wildberries.ru/catalog/171612187/detail.aspx,Футболка
106,Футболка мужская хлопок набор 3 штуки Cotton Care,908,4.8,1371,https://www.wildberries.ru/catalog/273719792/detail.aspx,Футболка
107,Футболка черная хлопковая UNIQUIRE,828,4.9,391,https://www.wildberries.ru/catalog/336299704/detail.aspx,Футболка
108,Футболка прямая с принтом TOM TAILOR,1161,4.8,41,https://www.wildberries.ru/catalog/337756813/detail.aspx,Футболка
109,Футболка хлопковая RAKURS4U,1426,4.7,764,https://www.wildberries.ru/catalog/296510765/detail.aspx,Футболка
110,Футболка оверсайз с принтом винтаж World Design,1005,4.7,11115,https://www.wildberries.ru/catalog/202539742/detail.aspx,Футболка
111,Футболка оверсайз opium y2k Earthy by WD,1005,4.7,12169,https://www.wildberries.ru/catalog/171808798/detail.aspx,Футболка
