,title,price,rating,reviews,link,req
0,Футболка белая однотонная 100% хлопок набор 3 шт KingCott,1084.0,4.8,4806.0,https://www.wildberries.ru/catalog/221304962/detail.aspx,Футболка
1,Футболка хлопок набор 3 шт Varo,1212.0,4.8,156804.0,https://www.wildberries.ru/catalog/174232323/detail.aspx,Футболка
2,Пара футболок премиум с принтом Decathlon Turkey,1424.0,4.9,8283.0,https://www.wildberries.ru/catalog/262052412/detail.aspx,Футболка
3,Футболка хлопок с принтом GLAMURIKI_GLM COUTURE_GL KIDS,537.0,4.8,10738.0,https://www.wildberries.ru/catalog/167584225/detail.aspx,Футболка
4,Футболка детская KUROMI GLAMURIKI_GLM COUTURE_GL KIDS,580.0,4.9,576.0,https://www.wildberries.ru/catalog/338104423/detail.aspx,Футболка
5,Футболка детская GLAMURIKI_GLM COUTURE_GL KIDS,580.0,4.9,1426.0,https://www.wildberries.ru/catalog/302774713/detail.aspx,Футболка
6,Плотная базовая классическая футболка ТВОЕ,645.0,4.8,2181.0,https://www.wildberries.ru/catalog/299373160/detail.aspx,Футболка
7,Футболка детская Кукла GLAMURIKI_GLM COUTURE_GL KIDS,580.0,4.9,1201.0,https://www.wildberries.ru/catalog/300258586/detail.aspx,Футболка
8,"Футболка Regular, молочный MUTED",966.0,4.9,70.0,https://www.wildberries.ru/catalog/321933948/detail.aspx,Футболка
9,Футболка базовая однотонная Ryabina,1161.0,4.7,756.0,https://www.wildberries.ru/catalog/153666594/detail.aspx,Футболка
10,Футболка спортивная хлопок GLAMURIKI_GLM COUTURE_GL KIDS,531.0,4.8,8744.0,https://www.wildberries.ru/catalog/162415769/detail.aspx,Футболка
11,Футболка спортивная повседневная хлопок комплект 3 шт GLAMURIKI_GLM COUTURE_GL KIDS,1295.0,4.9,2213.0,https://www.wildberries.ru/catalog/241570116/detail.aspx,Футболка
12,Футболка с принтом большие размеры DARIT SHARM,980.0,4.9,30.0,https://www.wildberries.ru/catalog/343133933/detail.aspx,Футболка
13,Футболка детская с принтом BODO,1150.0,4.8,206.0,https://www.wildberries.ru/catalog/293228837/detail.aspx,Футболка
